dataset,family,series,sample,elements,size_bucket,bins,shape,gib_per_s,speedup_vs_main,speedup_vs_noncooperative
c32,even,main,I32,67108864,middle,128,hash_synonym,739.6277068558051,1.0,
c32,even,main,I32,67108864,middle,128,stale_resident:0.5,698.5717828368254,1.0,
c32,even,main,I32,67108864,middle,128,stale_resident:0.25,698.2239396563268,1.0,
c32,even,main,I32,67108864,middle,128,temporal_phases:0.10,776.5858060727422,1.0,
c32,even,main,I32,67108864,middle,128,strided_sweep,734.8945892656922,1.0,
c32,even,main,I32,67108864,middle,128,sawtooth,735.4409961980389,1.0,
c32,even,main,I32,67108864,middle,128,poison,776.4057289798169,1.0,
c32,even,main,I32,67108864,middle,128,sawtooth:8192:2654435761:1,736.271535913985,1.0,
c32,even,main,I32,67108864,middle,256,concentrated:1.0,723.4158795480449,1.0,
c32,even,main,I32,67108864,middle,256,concentrated:0.75,722.8238806067537,1.0,
c32,even,main,I32,67108864,middle,256,concentrated:0.5,736.4223336711168,1.0,
c32,even,main,I32,67108864,middle,256,concentrated:0.25,744.3009258728061,1.0,
c32,even,main,I32,67108864,middle,256,concentrated:0.0,776.1880426706769,1.0,
c32,even,main,I32,67108864,middle,256,powerlaw:0.75,719.3629578551762,1.0,
c32,even,main,I32,67108864,middle,256,powerlaw:0.25,743.6514822840545,1.0,
c32,even,main,I32,67108864,middle,256,hash_synonym,742.4688826005025,1.0,
c32,even,main,I32,67108864,middle,256,stale_resident:0.5,723.1491857854446,1.0,
c32,even,main,I32,67108864,middle,256,stale_resident:0.25,722.8907589341661,1.0,
c32,even,main,I32,67108864,middle,256,temporal_phases:0.10,776.4255847909839,1.0,
c32,even,main,I32,67108864,middle,256,strided_sweep,734.7601004807525,1.0,
c32,even,main,I32,67108864,middle,256,sawtooth,735.1374381941658,1.0,
c32,even,main,I32,67108864,middle,256,poison,775.8466786346835,1.0,
c32,even,main,I32,67108864,middle,256,sawtooth:8192:2654435761:1,735.8169033915959,1.0,
c32,even,main,I32,67108864,middle,512,concentrated:1.0,580.0234520835484,1.0,
c32,even,main,I32,67108864,middle,512,concentrated:0.75,507.00556173009795,1.0,
c32,even,main,I32,67108864,middle,512,concentrated:0.5,474.549441914977,1.0,
c32,even,main,I32,67108864,middle,512,concentrated:0.25,562.0783903890883,1.0,
c32,even,main,I32,67108864,middle,512,concentrated:0.0,777.391210432984,1.0,
c32,even,main,I32,67108864,middle,512,powerlaw:0.75,638.6645249836467,1.0,
c32,even,main,I32,67108864,middle,512,powerlaw:0.25,551.2262100340427,1.0,
c32,even,main,I32,67108864,middle,512,hash_synonym,730.9075792720779,1.0,
c32,even,main,I32,67108864,middle,512,stale_resident:0.5,587.8456609595972,1.0,
c32,even,main,I32,67108864,middle,512,stale_resident:0.25,590.9197356794344,1.0,
c32,even,main,I32,67108864,middle,512,temporal_phases:0.10,776.852559614708,1.0,
c32,even,main,I32,67108864,middle,512,strided_sweep,489.4748192215511,1.0,
c32,even,main,I32,67108864,middle,512,sawtooth,496.0195436982243,1.0,
c32,even,main,I32,67108864,middle,512,poison,776.4395715740436,1.0,
c32,even,main,I32,67108864,middle,512,sawtooth:8192:2654435761:1,448.39542777702803,1.0,
c32,even,main,I32,268435456,large,8,concentrated:1.0,635.1308463434403,1.0,
c32,even,main,I32,268435456,large,8,concentrated:0.75,635.5243016134045,1.0,
c32,even,main,I32,268435456,large,8,concentrated:0.5,662.7171450713121,1.0,
c32,even,main,I32,268435456,large,8,concentrated:0.25,765.6592847714405,1.0,
c32,even,main,I32,268435456,large,8,concentrated:0.0,799.4679130078915,1.0,
c32,even,main,I32,268435456,large,8,powerlaw:0.75,635.4189240492993,1.0,
c32,even,main,I32,268435456,large,8,powerlaw:0.25,638.2380600257401,1.0,
c32,even,main,I32,268435456,large,8,hash_synonym,691.514842758641,1.0,
c32,even,main,I32,268435456,large,8,stale_resident:0.5,635.5292719633953,1.0,
c32,even,main,I32,268435456,large,8,stale_resident:0.25,635.7192183128004,1.0,
c32,even,main,I32,268435456,large,8,temporal_phases:0.10,799.2902430440803,1.0,
c32,even,main,I32,268435456,large,8,strided_sweep,855.59401947651,1.0,
c32,even,main,I32,268435456,large,8,sawtooth,855.3585288655349,1.0,
c32,even,main,I32,268435456,large,8,poison,799.3490370691901,1.0,
c32,even,main,I32,268435456,large,8,sawtooth:8192:2654435761:1,851.6933502189353,1.0,
c32,even,main,I32,268435456,large,16,concentrated:1.0,637.8272302700611,1.0,
c32,even,main,I32,268435456,large,16,concentrated:0.75,641.9129578688444,1.0,
c32,even,main,I32,268435456,large,16,concentrated:0.5,692.404645854276,1.0,
c32,even,main,I32,268435456,large,16,concentrated:0.25,765.9243797214681,1.0,
c32,even,main,I32,268435456,large,16,concentrated:0.0,799.5484613591346,1.0,
c32,even,main,I32,268435456,large,16,powerlaw:0.75,670.8044850552772,1.0,
c32,even,main,I32,268435456,large,16,powerlaw:0.25,761.347944403872,1.0,
c32,even,main,I32,268435456,large,16,hash_synonym,721.6690512556164,1.0,
c32,even,main,I32,268435456,large,16,stale_resident:0.5,638.173915795454,1.0,
c32,even,main,I32,268435456,large,16,stale_resident:0.25,638.1117630627265,1.0,
c32,even,main,I32,268435456,large,16,temporal_phases:0.10,799.3401110363008,1.0,
